,Date,Avg temperature (F),Precip Inches,Cloud Cover,Wind Speed(Miles)
472,2017-04-17,60,0.0,12.75,5.375
473,2017-04-18,62,0.0,5.375,6.125
474,2017-04-19,59,0.0,2.375,8.875
475,2017-04-20,50,0.30000000000000004,28.75,5.75
476,2017-04-21,44,0.0,58.625,7.75
477,2017-04-22,43,0.0,32.0,3.25
478,2017-04-23,59,0.0,14.625,4.625
479,2017-04-24,56,0.0,30.5,4.625
480,2017-04-25,46,0.1,38.75,5.625
481,2017-04-26,45,0.0,41.625,3.625
482,2017-04-27,45,0.1,40.125,5.375
483,2017-04-28,40,0.2,35.875,7.875
484,2017-04-29,26,0.30000000000000004,95.625,9.0
485,2017-04-30,37,0.0,10.75,7.5
486,2017-05-01,50,0.0,10.0,5.0
487,2017-05-02,49,0.0,38.375,4.375
488,2017-05-03,41,0.0,47.125,4.0
489,2017-05-04,56,0.0,3.25,4.5
490,2017-05-05,64,0.0,1.25,4.875
491,2017-05-06,70,0.0,12.0,6.25
492,2017-05-07,66,0.0,12.375,5.625
493,2017-05-08,60,0.8,24.5,7.0
494,2017-05-09,57,0.0,47.375,4.0
495,2017-05-10,48,0.0,61.875,5.375
496,2017-05-11,54,0.0,42.875,5.5
497,2017-05-12,65,0.0,2.0,5.75
498,2017-05-13,69,0.0,11.25,6.625
499,2017-05-14,62,0.0,8.125,6.75
500,2017-05-15,67,0.0,41.875,6.25
501,2017-05-16,58,0.0,25.875,5.625
502,2017-05-17,57,0.0,25.25,6.875
503,2017-05-18,33,0.7,99.0,7.75
504,2017-05-19,34,0.0,80.875,5.875
505,2017-05-20,45,0.0,22.75,3.5
506,2017-05-21,53,0.1,22.625,4.25
507,2017-05-22,50,0.1,43.125,5.375
508,2017-05-23,50,0.0,9.125,6.625
509,2017-05-24,66,0.0,1.375,7.375
510,2017-05-25,66,0.0,18.125,6.25
511,2017-05-26,59,0.0,31.75,3.625
512,2017-05-27,49,0.1,52.0,4.375
513,2017-05-28,58,0.0,4.875,4.625
514,2017-05-29,58,0.2,12.375,4.125
515,2017-05-30,63,0.0,4.25,4.625
516,2017-05-31,68,0.0,10.875,3.25
517,2017-06-01,68,0.0,10.5,4.75
518,2017-06-02,66,0.0,14.375,6.375
519,2017-06-03,64,0.0,7.375,5.5
520,2017-06-04,69,0.0,4.625,4.625
521,2017-06-05,71,0.0,12.375,5.375
522,2017-06-06,67,0.0,19.75,3.375
523,2017-06-07,70,0.0,11.125,4.0
524,2017-06-08,73,0.0,5.25,5.375
525,2017-06-09,80,0.0,9.125,6.5
526,2017-06-10,82,0.0,0.75,7.375
527,2017-06-11,71,0.0,16.75,6.125
528,2017-06-12,76,0.0,7.625,8.25
529,2017-06-13,66,0.0,9.875,5.5
530,2017-06-14,72,0.0,7.0,5.5
531,2017-06-15,75,0.0,7.875,4.0
532,2017-06-16,78,0.0,5.5,6.75
533,2017-06-17,75,0.0,21.125,6.25
534,2017-06-18,72,0.0,13.125,4.875
535,2017-06-19,72,0.0,4.0,5.625
536,2017-06-20,81,0.0,15.375,4.0
537,2017-06-21,83,0.0,8.625,6.0
538,2017-06-22,78,0.0,12.625,6.5
539,2017-06-23,54,0.1,31.625,5.5
540,2017-06-24,62,0.0,31.625,5.375
541,2017-06-25,63,0.0,21.875,4.875
542,2017-06-26,73,0.0,9.25,4.625
543,2017-06-27,80,0.0,5.0,7.125
544,2017-06-28,74,0.0,23.75,5.375
545,2017-06-29,70,0.1,18.875,5.625
546,2017-06-30,62,0.1,21.0,4.375
547,2017-07-01,73,0.0,3.0,4.375
548,2017-07-02,78,0.0,10.875,4.75
549,2017-07-03,76,0.0,24.125,4.375
550,2017-07-04,78,0.0,13.375,6.0
551,2017-07-05,82,0.0,4.625,5.25
552,2017-07-06,82,0.0,11.0,5.75
553,2017-07-07,78,0.1,9.0,6.125
554,2017-07-08,76,0.0,13.0,4.25
555,2017-07-09,81,0.0,4.125,5.875
556,2017-07-10,81,0.0,19.625,5.0
557,2017-07-11,80,0.0,20.375,5.75
558,2017-07-12,70,0.3,50.625,5.75
559,2017-07-13,71,0.0,9.5,4.75
560,2017-07-14,73,0.0,10.25,4.5
561,2017-07-15,71,0.0,13.5,6.0
562,2017-07-16,74,0.0,3.0,4.5
563,2017-07-17,79,0.0,8.0,5.0
564,2017-07-18,79,0.0,19.5,6.625
565,2017-07-19,81,0.0,12.625,6.75
566,2017-07-20,76,0.1,12.375,5.125
567,2017-07-21,76,0.2,21.125,6.875
568,2017-07-22,75,0.0,14.5,4.875
569,2017-07-23,76,0.0,3.5,5.75
570,2017-07-24,81,0.0,10.375,6.625
571,2017-07-25,76,0.1,36.125,6.0
572,2017-07-26,69,0.6,25.625,4.875
573,2017-07-27,73,0.0,14.625,5.0
574,2017-07-28,73,0.0,16.25,6.125
575,2017-07-29,69,0.0,44.75,3.625
576,2017-07-30,70,0.1,24.375,4.125
577,2017-07-31,72,0.0,6.0,6.125
578,2017-08-01,73,0.0,2.625,6.25
579,2017-08-02,74,0.0,10.5,7.875
580,2017-08-03,64,0.4,32.875,6.625
581,2017-08-04,73,0.0,18.0,4.125
582,2017-08-05,71,0.0,20.375,5.875
583,2017-08-06,65,0.1,20.375,5.125
584,2017-08-07,59,0.5,58.0,5.25
585,2017-08-08,64,0.0,28.5,3.375
586,2017-08-09,67,0.1,13.75,4.875
587,2017-08-10,65,0.0,17.375,5.875
588,2017-08-11,67,0.0,15.625,3.625
589,2017-08-12,69,0.0,10.625,4.5
